"","V1","V2"
"n.AIC.bk",0.209,1
"n.AIC.all",0.258,1
"n.BIC.bk",0.734,1
"n.BIC.all",0.741,1
"",0.007,1
"",0.018,1
"",0.064,1
"",0.153,1
"",0.342,1
"",0.626,1
"",0.884,1
"",0.984,0.999
"",0.958,0.958
"",0.992,0.999
"",0.953,1
"",0.845,1
"",0.694,1
"",0.522,1
"",0.387,1
"",0.274,1
"",0.206,1
"",0.152,1
"",0.112,1
"",0.094,1
"n.AIC.bk",0.304,1
"n.AIC.all",0.361,1
"n.BIC.bk",0.779,1
"n.BIC.all",0.78,1
"",0.016,1
"",0.04,1
"",0.101,1
"",0.229,1
"",0.431,1
"",0.691,1
"",0.904,1
"",0.986,0.999
"",0.934,0.934
"",0.991,0.998
"",0.963,1
"",0.873,1
"",0.747,1
"",0.598,1
"",0.479,1
"",0.363,1
"",0.282,1
"",0.222,1
"",0.175,1
"",0.143,1
"n.AIC.bk",0.457,1
"n.AIC.all",0.506,1
"n.BIC.bk",0.839,1
"n.BIC.all",0.84,1
"",0.073,1
"",0.113,1
"",0.218,1
"",0.375,1
"",0.566,1
"",0.775,1
"",0.93,1
"",0.987,0.998
"",0.911,0.911
"",0.99,0.996
"",0.971,1
"",0.914,1
"",0.818,1
"",0.713,1
"",0.603,1
"",0.497,1
"",0.431,1
"",0.366,1
"",0.313,1
"",0.272,1
"n.AIC.bk",0.681,1
"n.AIC.all",0.714,1
"n.BIC.bk",0.914,1
"n.BIC.all",0.914,1
"",0.27,1
"",0.354,1
"",0.447,1
"",0.591,1
"",0.73,1
"",0.858,1
"",0.954,1
"",0.987,0.997
"",0.839,0.839
"",0.984,0.99
"",0.98,1
"",0.945,1
"",0.885,1
"",0.821,1
"",0.758,1
"",0.686,1
"",0.63,1
"",0.589,1
"",0.537,1
"",0.502,1
